iter	Passed	Remaining
0	157	157494
1	158	79197
2	159	52987
3	160	39876
4	160	32037
5	161	26827
6	165	23438
7	166	20604
8	167	18403
9	167	16625
10	168	15168
11	169	13967
12	170	12936
13	171	12059
14	171	11294
15	172	10625
16	173	10035
17	174	9509
18	175	9036
19	175	8619
20	177	8265
21	178	7920
22	178	7601
23	179	7316
24	180	7047
25	181	6804
26	182	6574
27	183	6361
28	183	6159
29	184	5971
30	185	5795
31	186	5630
32	187	5480
33	187	5336
34	188	5199
35	189	5074
36	193	5039
37	194	4921
38	195	4808
39	195	4701
40	196	4602
41	198	4516
42	198	4424
43	199	4337
44	200	4256
45	201	4179
46	202	4102
47	203	4027
48	205	3984
49	206	3915
50	206	3849
51	207	3785
52	208	3722
53	209	3662
54	209	3604
55	210	3555
56	211	3504
57	212	3451
58	213	3401
59	214	3352
60	214	3305
61	215	3259
62	216	3215
63	216	3172
64	218	3137
65	219	3102
66	220	3072
67	222	3044
68	222	3008
69	223	2975
70	224	2941
71	225	2907
72	226	2874
73	227	2842
74	228	2812
75	229	2787
76	230	2758
77	230	2729
78	231	2703
79	233	2683
80	234	2658
81	235	2632
82	235	2603
83	236	2577
84	237	2556
85	238	2532
86	239	2509
87	240	2487
88	240	2465
89	241	2443
90	242	2423
91	243	2403
92	244	2382
93	245	2362
94	246	2346
95	247	2327
96	247	2308
97	248	2290
98	249	2272
99	250	2255
100	251	2237
101	252	2219
102	252	2202
103	253	2188
104	254	2171
105	255	2155
106	256	2140
107	257	2126
108	258	2115
109	259	2101
110	262	2103
111	263	2090
112	265	2081
113	266	2067
114	266	2053
115	267	2039
116	268	2027
117	269	2018
118	270	2005
119	272	1996
120	274	1992
121	275	1979
122	276	1969
123	277	1957
124	278	1946
125	279	1935
126	279	1922
127	280	1911
128	281	1900
129	282	1889
130	282	1877
131	283	1865
132	284	1854
133	285	1843
134	286	1833
135	287	1826
136	288	1818
137	289	1808
138	290	1798
139	291	1788
140	292	1779
141	292	1768
142	293	1758
143	294	1748
144	294	1739
145	295	1729
146	296	1720
147	297	1712
148	298	1703
149	299	1694
150	299	1686
151	300	1677
152	302	1673
153	303	1666
154	304	1658
155	305	1651
156	305	1642
157	306	1634
158	307	1626
159	308	1618
160	308	1609
161	309	1601
162	310	1594
163	311	1586
164	312	1579
165	313	1573
166	313	1565
167	314	1558
168	315	1552
169	317	1548
170	318	1541
171	318	1534
172	319	1527
173	320	1520
174	321	1513
175	321	1507
176	322	1500
177	323	1493
178	324	1487
179	325	1481
180	326	1475
181	327	1471
182	328	1465
183	329	1459
184	330	1456
185	331	1450
186	332	1444
187	333	1438
188	333	1432
189	334	1426
190	335	1420
191	336	1414
192	337	1409
193	337	1403
194	338	1397
195	339	1392
196	340	1387
197	341	1381
198	341	1376
199	342	1370
200	343	1365
201	344	1360
202	345	1357
203	346	1352
204	347	1347
205	348	1342
206	349	1337
207	349	1331
208	350	1327
209	351	1322
210	352	1318
211	353	1314
212	354	1310
213	355	1306
214	356	1301
215	357	1296
216	358	1292
217	359	1290
218	360	1286
219	361	1281
220	362	1276
221	363	1272
222	363	1268
223	364	1263
224	365	1258
225	366	1255
226	367	1250
227	368	1246
228	369	1242
229	369	1238
230	370	1234
231	371	1230
232	372	1227
233	373	1223
234	374	1219
235	375	1215
236	376	1211
237	377	1207
238	377	1203
239	378	1199
240	379	1196
241	380	1192
242	381	1188
243	382	1184
244	383	1180
245	383	1176
246	384	1173
247	385	1169
248	386	1166
249	388	1165
250	389	1162
251	390	1158
252	391	1155
253	392	1151
254	393	1148
255	393	1144
256	394	1140
257	395	1137
258	396	1133
259	396	1129
260	397	1126
261	398	1123
262	399	1119
263	400	1116
264	401	1113
265	402	1110
266	403	1106
267	403	1103
268	404	1100
269	405	1096
270	406	1093
271	407	1090
272	408	1086
273	408	1083
